1x1,1x2,1x3,1x4,1x5,1x6,1x7,1x8,1x9,1x10,2x1,2x2,2x3,2x4,2x5,2x6,2x7,2x8,2x9,2x10,4x1,4x2,4x3,4x4,4x5,4x6,4x7,4x8,4x9,4x10,8x1,8x2,8x3,x84,8x5,8x6,8x7,8x8,8x9,8x10,16x1,16x2,16x3,16x4,16x5,16x6,16x7,16x8,16x9,16x10
89283,65559,95826,75201,96368,78095,99299,65978,65901,83077,45524,45633,46470,46067,48078,45337,49219,53721,44913,53561,58450,24165,22432,23498,61542,60941,26267,26239,63147,21098,13375,50548,14003,13542,54802,55062,13256,55344,14558,55748,5544,63236,62131,5710,64379,63539,64139,64437,4861,62799
94706,70428,103166,100416,100684,89126,104467,70892,70103,97910,49186,53234,49736,48749,51026,48187,51187,56206,50672,55331,61997,27828,28179,28129,64749,63667,29539,29308,65561,27508,15559,51990,15652,15477,57001,57262,15768,57167,16580,58312,8559,64980,64279,8841,65953,66194,65816,67423,7563,65603
154486,164856,167808,162097,165296,178020,169832,167336,164019,163051,97788,99890,99613,98515,102529,89780,105006,103579,95816,103583,86513,84398,88330,99269,90994,90013,89908,90616,92379,88475,65449,64995,68833,68076,71114,70965,66862,71685,71693,68778,68958,69798,68456,71270,71031,71136,71179,72072,12053,70462
158859,172218,173789,171774,170808,182626,177034,173174,170041,169995,101251,102308,103293,102017,106247,91341,108002,106990,97678,106565,89250,87470,90752,91102,94430,92759,92458,93030,95386,90328,67088,66537,70467,71070,71966,72356,69567,73812,73944,72723,71575,73173,71625,72813,72527,72459,72685,73887,13297,72180
238472,252942,256343,262097,254600,242143,261246,258276,254722,269830,145579,153101,147923,146093,153198,93224,156967,155633,147088,153920,111651,109235,117253,117147,114998,114623,115038,115415,117907,117401,77777,79143,71067,82306,73267,84260,79784,84252,85090,87157,76366,78386,72120,77994,77514,77809,76992,78944,68045,76762
251286,269501,274258,273085,266266,245930,274660,269459,264011,275747,152080,155335,154200,153098,158776,95228,161408,159999,149155,159623,116109,114063,118645,118896,120421,118953,119594,120623,122961,119525,81206,76801,73206,84881,74965,86847,83033,87331,88441,88540,77348,79361,72912,78861,80715,80699,80593,81849,69515,79889
261136,271962,287074,279737,267293,254500,286722,281082,265938,286546,154196,158635,157730,156066,161364,135948,164411,163241,151551,163571,117260,115421,120571,120257,121341,120679,120341,122257,124740,121512,81991,79893,84405,86003,86927,87812,83701,88288,89392,89136,,,,,,,,,,
275128,276205,300548,287707,279125,258348,302656,294575,268529,292024,156477,164196,162923,161380,163341,141395,166411,168933,153247,168894,119758,116800,122230,122636,123692,122541,123465,123691,126385,122619,83625,81244,87915,88238,88941,89398,84716,89855,91416,90916,,,,,,,,,,
,291281,309329,303428,291595,269813,312393,304959,277549,302259,,,,,,,,,155982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,301547,315333,320767,304916,281694,316960,308067,293942,315600,,,,,,,,,161206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,311549,,,,,,,,316799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,315398,,,,,,,,320306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
